類別：所有類別

週,iphone: (全球)
2012-05-06,33
2012-05-13,33
2012-05-20,33
2012-05-27,35
2012-06-03,35
2012-06-10,36
2012-06-17,35
2012-06-24,35
2012-07-01,36
2012-07-08,36
2012-07-15,36
2012-07-22,37
2012-07-29,39
2012-08-05,37
2012-08-12,38
2012-08-19,39
2012-08-26,39
2012-09-02,43
2012-09-09,100
2012-09-16,70
2012-09-23,63
2012-09-30,50
2012-10-07,43
2012-10-14,39
2012-10-21,41
2012-10-28,40
2012-11-04,39
2012-11-11,39
2012-11-18,40
2012-11-25,39
2012-12-02,40
2012-12-09,41
2012-12-16,41
2012-12-23,49
2012-12-30,44
2013-01-06,39
2013-01-13,37
2013-01-20,36
2013-01-27,36
2013-02-03,38
2013-02-10,36
2013-02-17,36
2013-02-24,35
2013-03-03,34
2013-03-10,34
2013-03-17,35
2013-03-24,35
2013-03-31,34
2013-04-07,33
2013-04-14,33
2013-04-21,32
2013-04-28,33
2013-05-05,33
2013-05-12,33
2013-05-19,33
2013-05-26,33
2013-06-02,33
2013-06-09,36
2013-06-16,34
2013-06-23,34
2013-06-30,34
2013-07-07,33
2013-07-14,34
2013-07-21,34
2013-07-28,35
2013-08-04,36
2013-08-11,36
2013-08-18,35
2013-08-25,35
2013-09-01,37
2013-09-08,70
2013-09-15,62
2013-09-22,52
2013-09-29,42
2013-10-06,38
2013-10-13,36
2013-10-20,38
2013-10-27,36
2013-11-03,35
2013-11-10,34
2013-11-17,35
2013-11-24,35
2013-12-01,34
2013-12-08,35
2013-12-15,35
2013-12-22,42
2013-12-29,38
2014-01-05,36
2014-01-12,34
2014-01-19,32
2014-01-26,33
2014-02-02,32
2014-02-09,32
2014-02-16,31
2014-02-23,32
2014-03-02,32
2014-03-09,32
2014-03-16,32
2014-03-23,31
2014-03-30,31
2014-04-06,30
2014-04-13,30
2014-04-20,32
2014-04-27,31
2014-05-04,32
2014-05-11,30
2014-05-18,30
2014-05-25,31
2014-06-01,32
2014-06-08,30
2014-06-15,31
2014-06-22,31
2014-06-29,32
2014-07-06,34
2014-07-13,33
2014-07-20,34
2014-07-27,34
2014-08-03,34
2014-08-10,35
2014-08-17,36
2014-08-24,37
2014-08-31,39
2014-09-07,90
2014-09-14,63
2014-09-21,63
2014-09-28,50
2014-10-05,42
2014-10-12,39
2014-10-19,39
2014-10-26,37
2014-11-02,37
2014-11-09,37
2014-11-16,37
2014-11-23,38
2014-11-30,37
2014-12-07,37
2014-12-14,37
2014-12-21,43
2014-12-28,40
2015-01-04,36
2015-01-11,34
2015-01-18,33
2015-01-25,32
2015-02-01,31
2015-02-08,31
2015-02-15,32
2015-02-22,31
2015-03-01,32
2015-03-08,32
2015-03-15,31
2015-03-22,31
2015-03-29,31
2015-04-05,32
2015-04-12,30
2015-04-19,30
2015-04-26,30
2015-05-03,31
2015-05-10,30
2015-05-17,30
2015-05-24,33
2015-05-31,31
2015-06-07,31
2015-06-14,32
2015-06-21,32
2015-06-28,34
2015-07-05,34
2015-07-12,34
2015-07-19,33
2015-07-26,34
2015-08-02,34
2015-08-09,34
2015-08-16,33
2015-08-23,35
2015-08-30,34
2015-09-06,50
2015-09-13,42
2015-09-20,44
2015-09-27,43
2015-10-04,38
2015-10-11,37
2015-10-18,36
2015-10-25,35
2015-11-01,34
2015-11-08,33
2015-11-15,33
2015-11-22,35
2015-11-29,34
2015-12-06,36
2015-12-13,36
2015-12-20,40
2015-12-27,39
2016-01-03,36
2016-01-10,33
2016-01-17,32
2016-01-24,34
2016-01-31,31
2016-02-07,31
2016-02-14,32
2016-02-21,33
2016-02-28,33
2016-03-06,32
2016-03-13,32
2016-03-20,45
2016-03-27,39
2016-04-03,35
2016-04-10,32
2016-04-17,32
2016-04-24,32
2016-05-01,31
2016-05-08,30
2016-05-15,31
2016-05-22,32
2016-05-29,32
2016-06-05,31
2016-06-12,32
2016-06-19,32
2016-06-26,32
2016-07-03,34
2016-07-10,37
2016-07-17,36
2016-07-24,37
2016-07-31,36
2016-08-07,34
2016-08-14,34
2016-08-21,35
2016-08-28,38
2016-09-04,76
2016-09-11,57
2016-09-18,49
2016-09-25,43
2016-10-02,42
2016-10-09,40
2016-10-16,38
2016-10-23,37
2016-10-30,36
2016-11-06,35
2016-11-13,36
2016-11-20,38
2016-11-27,38
2016-12-04,36
2016-12-11,37
2016-12-18,38
2016-12-25,42
2017-01-01,38
2017-01-08,34
2017-01-15,33
2017-01-22,33
2017-01-29,32
2017-02-05,32
2017-02-12,31
2017-02-19,31
2017-02-26,31
2017-03-05,31
2017-03-12,30
2017-03-19,32
2017-03-26,33
2017-04-02,31
2017-04-09,31
2017-04-16,32
2017-04-23,30
